"AREA(S)","TYPE","YEAR","Total Population",
"Norwood","M","1960","443",
"Norwood","M","1970","408",
"Norwood","M","1980","478",
"Norwood","M","1990","429",
"Norwood","M","2000","438",
"Norwood","M","2010","518",
"Nucla","M","1870","0",
"Nucla","M","1880","0",
"Nucla","M","1890","0",
"Nucla","M","1900","0",
"Nucla","M","1910","0",
"Nucla","M","1920","217",
"Nucla","M","1930","221",
"Nucla","M","1940","361",
"Nucla","M","1950","457",
"Nucla","M","1960","906",
"Nucla","M","1970","949",
"Nucla","M","1980","1027",
"Nucla","M","1990","656",
"Nucla","M","2000","734",
"Nucla","M","2010","711",
"Nunn","M","1870","0",
"Nunn","M","1880","0",
"Nunn","M","1890","0",
"Nunn","M","1900","0",
"Nunn","M","1910","143",
"Nunn","M","1920","149",
"Nunn","M","1930","196",
"Nunn","M","1940","190",
"Nunn","M","1950","182",
"Nunn","M","1960","228",
"Nunn","M","1970","269",
"Nunn","M","1980","295",
"Nunn","M","1990","324",
"Nunn","M","2000","471",
"Nunn","M","2010","416",
"Oak Creek","M","1870","0",
"Oak Creek","M","1880","0",
"Oak Creek","M","1890","0",
"Oak Creek","M","1900","0",
"Oak Creek","M","1910","222",
"Oak Creek","M","1920","967",
"Oak Creek","M","1930","1211",
"Oak Creek","M","1940","1769",
"Oak Creek","M","1950","1488",
"Oak Creek","M","1960","666",
"Oak Creek","M","1970","492",
"Oak Creek","M","1980","929",
"Oak Creek","M","1990","673",
"Oak Creek","M","2000","849",
"Oak Creek","M","2010","884",
"Ohio City","M","1870","0",
"Ohio City","M","1880","0",
"Ohio City","M","1890","0",
"Ohio City","M","1900","0",
"Ohio City","M","1910","153",
"Ohio City","M","1920","50",
"Ohio City","M","1930","72",
"Ohio City","M","1940","78",
"Ohio City","M","1950","40",
"Ohio City","M","1960","0",
"Ohio City","M","1970","0",
"Ohio City","M","1980","0",
"Ohio City","M","1990","0",
"Ohio City","M","2000","0",
"Ohio City","M","2010","0",
"Olathe","M","1870","0",
"Olathe","M","1880","0",
"Olathe","M","1890","0",
"Olathe","M","1900","0",
"Olathe","M","1910","458",
"Olathe","M","1920","491",
"Olathe","M","1930","593",
"Olathe","M","1940","705",
"Olathe","M","1950","810",
"Olathe","M","1960","773",
"Olathe","M","1970","756",
"Olathe","M","1980","1262",
"Olathe","M","1990","1263",
"Olathe","M","2000","1573",
"Olathe","M","2010","1849",
"Olney Springs","M","1870","0",
"Olney Springs","M","1880","0",
"Olney Springs","M","1890","0",
"Olney Springs","M","1900","0",
"Olney Springs","M","1910","0",
"Olney Springs","M","1920","240",
"Olney Springs","M","1930","228",
"Olney Springs","M","1940","260",
"Olney Springs","M","1950","279",
"Olney Springs","M","1960","263",
"Olney Springs","M","1970","264",
"Olney Springs","M","1980","253",
"Olney Springs","M","1990","340",
"Olney Springs","M","2000","389",
"Olney Springs","M","2010","345",
"Ophir","M","1870","0",
"Ophir","M","1880","0",
"Ophir","M","1890","113",
"Ophir","M","1900","127",
"Ophir","M","1910","124",
"Ophir","M","1920","29",
"Ophir","M","1930","0",
"Ophir","M","1940","2",
"Ophir","M","1950","2",
"Ophir","M","1960","0",
"Ophir","M","1970","6",
"Ophir","M","1980","38",
"Ophir","M","1990","69",
"Ophir","M","2000","113",
"Ophir","M","2010","159",
"Orchard City","M","1870","0",
"Orchard City","M","1880","0",
"Orchard City","M","1890","0",
"Orchard City","M","1900","0",
"Orchard City","M","1910","0",
"Orchard City","M","1920","531",
"Orchard City","M","1930","0",
"Orchard City","M","1940","865",
"Orchard City","M","1950","956",
"Orchard City","M","1960","1221",
"Orchard City","M","1970","1163",
"Orchard City","M","1980","1914",
"Orchard City","M","1990","2218",
"Orchard City","M","2000","2880",
"Orchard City","M","2010","3119",
"Ordway","M","1870","0",
"Ordway","M","1880","0",
"Ordway","M","1890","0",
"Ordway","M","1900","138",
"Ordway","M","1910","705",
"Ordway","M","1920","1186",
"Ordway","M","1930","1139",
"Ordway","M","1940","1150",
"Ordway","M","1950","1290",
"Ordway","M","1960","1254",
"Ordway","M","1970","1017",
"Ordway","M","1980","1135",
"Ordway","M","1990","1025",
"Ordway","M","2000","1248",
"Ordway","M","2010","1080",
"Oro","M","1870","0",
"Oro","M","1880","0",
"Oro","M","1890","222",
"Oro","M","1900","0",
"Oro","M","1910","0",
"Oro","M","1920","0",
"Oro","M","1930","0",
"Oro","M","1940","0",
"Oro","M","1950","0",
"Oro","M","1960","0",
"Oro","M","1970","0",
"Oro","M","1980","0",
"Oro","M","1990","0",
"Oro","M","2000","0",
"Oro","M","2010","0",
"Otis","M","1870","0",
"Otis","M","1880","0",
"Otis","M","1890","129",
"Otis","M","1900","0",
"Otis","M","1910","0",
"Otis","M","1920","467",
"Otis","M","1930","529",
"Otis","M","1940","498",
"Otis","M","1950","532",
"Otis","M","1960","568",
"Otis","M","1970","521",
"Otis","M","1980","534",
"Otis","M","1990","451",
"Otis","M","2000","534",
"Otis","M","2010","475",
"Ouray","M","1870","0",
"Ouray","M","1880","864",
"Ouray","M","1890","2534",
"Ouray","M","1900","2196",
"Ouray","M","1910","1644",
"Ouray","M","1920","1165",
"Ouray","M","1930","707",
"Ouray","M","1940","951",
"Ouray","M","1950","1089",
"Ouray","M","1960","785",
"Ouray","M","1970","741",
"Ouray","M","1980","684",
"Ouray","M","1990","644",
"Ouray","M","2000","813",
"Ouray","M","2010","1000",
"Ovid","M","1870","0",
"Ovid","M","1880","0",
"Ovid","M","1890","0",
"Ovid","M","1900","0",
"Ovid","M","1910","0",
"Ovid","M","1920","0",
"Ovid","M","1930","649",
"Ovid","M","1940","687",
"Ovid","M","1950","664",
"Ovid","M","1960","571",
"Ovid","M","1970","463",
"Ovid","M","1980","439",
"Ovid","M","1990","349",
"Ovid","M","2000","330",
"Ovid","M","2010","318",
"Pagosa Springs","M","1870","0",
"Pagosa Springs","M","1880","0",
"Pagosa Springs","M","1890","0",
"Pagosa Springs","M","1900","367",
"Pagosa Springs","M","1910","669",
"Pagosa Springs","M","1920","1032",
"Pagosa Springs","M","1930","804",
"Pagosa Springs","M","1940","1591",
"Pagosa Springs","M","1950","1379",
"Pagosa Springs","M","1960","1374",
"Pagosa Springs","M","1970","1360",
"Pagosa Springs","M","1980","1331",
"Pagosa Springs","M","1990","1207",
"Pagosa Springs","M","2000","1591",
"Pagosa Springs","M","2010","1727",
"Palisade","M","1870","0",
"Palisade","M","1880","0",
"Palisade","M","1890","0",
"Palisade","M","1900","0",
"Palisade","M","1910","900",
"Palisade","M","1920","855",
"Palisade","M","1930","851",
"Palisade","M","1940","855",
"Palisade","M","1950","361",
"Palisade","M","1960","860",
"Palisade","M","1970","874",
"Palisade","M","1980","1551",
"Palisade","M","1990","1871",
"Palisade","M","2000","2579",
"Palisade","M","2010","2692",
"Palmer Lake","M","1870","0",
"Palmer Lake","M","1880","0",
"Palmer Lake","M","1890","213",
"Palmer Lake","M","1900","166",
"Palmer Lake","M","1910","163",
"Palmer Lake","M","1920","160",
"Palmer Lake","M","1930","244",
"Palmer Lake","M","1940","269",
"Palmer Lake","M","1950","263",
"Palmer Lake","M","1960","542",
"Palmer Lake","M","1970","947",
"Palmer Lake","M","1980","1130",
"Palmer Lake","M","1990","1480",
"Palmer Lake","M","2000","2179",
"Palmer Lake","M","2010","2420",
"Paoli","M","1870","0",
"Paoli","M","1880","0",
"Paoli","M","1890","0",
"Paoli","M","1900","0",
"Paoli","M","1910","0",
"Paoli","M","1920","0",
"Paoli","M","1930","0",
"Paoli","M","1940","85",
"Paoli","M","1950","91",
"Paoli","M","1960","81",
"Paoli","M","1970","52",
"Paoli","M","1980","81",
"Paoli","M","1990","29",
"Paoli","M","2000","42",
"Paoli","M","2010","34",
"Paonia","M","1870","0",
"Paonia","M","1880","0",
"Paonia","M","1890","0",
"Paonia","M","1900","0",
"Paonia","M","1910","1007",
"Paonia","M","1920","925",
"Paonia","M","1930","958",
"Paonia","M","1940","1117",
"Paonia","M","1950","1257",
"Paonia","M","1960","1083",
"Paonia","M","1970","1161",
"Paonia","M","1980","1425",
"Paonia","M","1990","1403",
"Paonia","M","2000","1497",
"Paonia","M","2010","1451",
"Parachute","M","1870","0",
"Parachute","M","1880","0",
"Parachute","M","1890","0",
"Parachute","M","1900","0",
"Parachute","M","1910","0",
"Parachute","M","1920","0",
"Parachute","M","1930","0",
"Parachute","M","1940","0",
"Parachute","M","1950","0",
"Parachute","M","1960","0",
"Parachute","M","1970","270",
"Parachute","M","1980","338",
"Parachute","M","1990","658",
"Parachute","M","2000","1006",
"Parachute","M","2010","1085",
"Parker","M","1870","0",
"Parker","M","1880","0",
"Parker","M","1890","0",
"Parker","M","1900","0",
"Parker","M","1910","0",
"Parker","M","1920","0",
"Parker","M","1930","0",
"Parker","M","1940","0",
"Parker","M","1950","0",
"Parker","M","1960","0",
"Parker","M","1970","0",
"Parker","M","1980","290",
"Parker","M","1990","5450",
"Parker","M","2000","23558",
"Parker","M","2010","45297",
"Peetz","M","1870","0",
"Peetz","M","1880","0",
"Peetz","M","1890","0",
"Peetz","M","1900","0",
"Peetz","M","1910","0",
"Peetz","M","1920","322",
"Peetz","M","1930","244",
"Peetz","M","1940","207",
"Peetz","M","1950","232",
"Peetz","M","1960","218",
"Peetz","M","1970","186",
"Peetz","M","1980","220",
"Peetz","M","1990","179",
"Peetz","M","2000","227",
"Peetz","M","2010","238",
"Pierce","M","1870","0",
"Pierce","M","1880","0",
"Pierce","M","1890","0",
"Pierce","M","1900","0",
"Pierce","M","1910","0",
"Pierce","M","1920","327",
"Pierce","M","1930","281",
"Pierce","M","1940","343",
"Pierce","M","1950","372",
"Pierce","M","1960","424",
"Pierce","M","1970","452",
"Pierce","M","1980","878",
"Pierce","M","1990","823",
"Pierce","M","2000","884",
"Pierce","M","2010","834",
"Pitkin","M","1870","0",
"Pitkin","M","1880","1891",
"Pitkin","M","1890","371",
"Pitkin","M","1900","203",
"Pitkin","M","1910","250",
"Pitkin","M","1920","165",
"Pitkin","M","1930","228",
"Pitkin","M","1940","156",
"Pitkin","M","1950","152",
"Pitkin","M","1960","94",
"Pitkin","M","1970","44",
"Pitkin","M","1980","59",
"Pitkin","M","1990","53",
"Pitkin","M","2000","124",
"Pitkin","M","2010","66",
"Platteville","M","1870","0",
"Platteville","M","1880","0",
"Platteville","M","1890","213",
"Platteville","M","1900","263",
"Platteville","M","1910","430",
"Platteville","M","1920","479",
"Platteville","M","1930","533",
"Platteville","M","1940","561",
"Platteville","M","1950","570",
"Platteville","M","1960","582",
"Platteville","M","1970","683",
"Platteville","M","1980","1662",
"Platteville","M","1990","1515",
"Platteville","M","2000","2370",
"Platteville","M","2010","2485",
"Poncha Springs","M","1870","0",
"Poncha Springs","M","1880","170",
"Poncha Springs","M","1890","101",
"Poncha Springs","M","1900","97",
"Poncha Springs","M","1910","43",
"Poncha Springs","M","1920","37",
"Poncha Springs","M","1930","80",
"Poncha Springs","M","1940","94",
"Poncha Springs","M","1950","114",
"Poncha Springs","M","1960","201",
"Poncha Springs","M","1970","198",
"Poncha Springs","M","1980","321",
"Poncha Springs","M","1990","244",
"Poncha Springs","M","2000","466",
"Poncha Springs","M","2010","737",
"Pritchett","M","1870","0",
"Pritchett","M","1880","0",
"Pritchett","M","1890","0",
"Pritchett","M","1900","0",
"Pritchett","M","1910","0",
"Pritchett","M","1920","0",
"Pritchett","M","1930","451",
"Pritchett","M","1940","495",
"Pritchett","M","1950","286",
"Pritchett","M","1960","247",
"Pritchett","M","1970","170",
"Pritchett","M","1980","183",
"Pritchett","M","1990","153",
"Pritchett","M","2000","137",
"Pritchett","M","2010","140",
"Prospect Heights","M","2010","0",
"Pueblo","M","1870","0",
"Pueblo","M","1880","0",
"Pueblo","M","1890","24558",
"Pueblo","M","1900","28157",
"Pueblo","M","1910","44395",
"Pueblo","M","1920","43050",
"Pueblo","M","1930","50096",
"Pueblo","M","1940","52162",
"Pueblo","M","1950","63685",
"Pueblo","M","1960","91181",
"Pueblo","M","1970","97774",
"Pueblo","M","1980","101686",
"Pueblo","M","1990","98640",
"Pueblo","M","2000","102121",
"Pueblo","M","2010","106595",
"Ramah","M","1870","0",
"Ramah","M","1880","0",
"Ramah","M","1890","0",
"Ramah","M","1900","0",
"Ramah","M","1910","0",
"Ramah","M","1920","0",
"Ramah","M","1930","171",
"Ramah","M","1940","186",
"Ramah","M","1950","142",
"Ramah","M","1960","109",
"Ramah","M","1970","101",
"Ramah","M","1980","119",
"Ramah","M","1990","94",
"Ramah","M","2000","117",
"Ramah","M","2010","123",
"Ramona","M","1870","0",
"Ramona","M","1880","0",
"Ramona","M","1890","0",
"Ramona","M","1900","0",
"Ramona","M","1910","0",
"Ramona","M","1920","0",
"Ramona","M","1930","105",
"Ramona","M","1940","159",
"Ramona","M","1950","0",
"Ramona","M","1960","0",
"Ramona","M","1970","0",
"Ramona","M","1980","0",
"Ramona","M","1990","0",
"Ramona","M","2000","0",
"Ramona","M","2010","0",
"Rangely","M","1870","0",
"Rangely","M","1880","0",
"Rangely","M","1890","0",
"Rangely","M","1900","0",
"Rangely","M","1910","0",
"Rangely","M","1920","0",
"Rangely","M","1930","0",
"Rangely","M","1940","0",
"Rangely","M","1950","808",
"Rangely","M","1960","1464",
"Rangely","M","1970","1591",
"Rangely","M","1980","2113",
"Rangely","M","1990","2278",
"Rangely","M","2000","2096",
"Rangely","M","2010","2365",
"Raymer","M","1870","0",
"Raymer","M","1880","0",
"Raymer","M","1890","0",
"Raymer","M","1900","0",
"Raymer","M","1910","0",
"Raymer","M","1920","267",
"Raymer","M","1930","254",
"Raymer","M","1940","169",
"Raymer","M","1950","130",
"Raymer","M","1960","91",
"Raymer","M","1970","68",
"Raymer","M","1980","80",
"Raymer","M","1990","98",
"Raymer","M","2000","91",
"Raymer","M","2010","96",
"Red Cliff","M","1870","0",
"Red Cliff","M","1880","0",
"Red Cliff","M","1890","383",
"Red Cliff","M","1900","256",
"Red Cliff","M","1910","383",
"Red Cliff","M","1920","347",
"Red Cliff","M","1930","544",
"Red Cliff","M","1940","715",
"Red Cliff","M","1950","556",
"Red Cliff","M","1960","586",
"Red Cliff","M","1970","621",
"Red Cliff","M","1980","409",
"Red Cliff","M","1990","297",
"Red Cliff","M","2000","289",
"Red Cliff","M","2010","267",
"Red Mountain","M","1870","0",
"Red Mountain","M","1880","0",
"Red Mountain","M","1890","598",
"Red Mountain","M","1900","30",
"Red Mountain","M","1910","26",
"Red Mountain","M","1920","0",
"Red Mountain","M","1930","0",
"Red Mountain","M","1940","0",
"Red Mountain","M","1950","0",
"Red Mountain","M","1960","0",
"Red Mountain","M","1970","0",
"Red Mountain","M","1980","0",
"Red Mountain","M","1990","0",
"Red Mountain","M","2000","0",
"Red Mountain","M","2010","0",
"Rico","M","1870","0",
"Rico","M","1880","894",
"Rico","M","1890","1134",
"Rico","M","1900","811",
"Rico","M","1910","368",
"Rico","M","1920","326",
"Rico","M","1930","447",
"Rico","M","1940","388",
"Rico","M","1950","212",
"Rico","M","1960","353",
"Rico","M","1970","275",
"Rico","M","1980","76",
"Rico","M","1990","92",
"Rico","M","2000","205",
"Rico","M","2010","265",
"Ridgway","M","1870","0",
"Ridgway","M","1880","0",
"Ridgway","M","1890","0",
"Ridgway","M","1900","245",
"Ridgway","M","1910","376",
"Ridgway","M","1920","400",
"Ridgway","M","1930","239",
"Ridgway","M","1940","354",
"Ridgway","M","1950","209",
"Ridgway","M","1960","254",
"Ridgway","M","1970","262",
"Ridgway","M","1980","369",
"Ridgway","M","1990","423",
"Ridgway","M","2000","713",
"Ridgway","M","2010","924",
"Rifle","M","1870","0",
"Rifle","M","1880","0",
"Rifle","M","1890","0",
"Rifle","M","1900","273",
"Rifle","M","1910","698",
"Rifle","M","1920","885",
"Rifle","M","1930","1287",
"Rifle","M","1940","1373",
"Rifle","M","1950","1525",
"Rifle","M","1960","2135",
"Rifle","M","1970","2150",
"Rifle","M","1980","3215",
"Rifle","M","1990","4636",
"Rifle","M","2000","6784",
"Rifle","M","2010","9172",
"Robinson","M","1870","0",
"Robinson","M","1880","0",
"Robinson","M","1890","164",
"Robinson","M","1900","0",
"Robinson","M","1910","78",
"Robinson","M","1920","0",
"Robinson","M","1930","0",
"Robinson","M","1940","0",
"Robinson","M","1950","0",
"Robinson","M","1960","0",
"Robinson","M","1970","0",
"Robinson","M","1980","0",
"Robinson","M","1990","0",
"Robinson","M","2000","0",
"Robinson","M","2010","0",
"Rockvale","M","1870","0",
"Rockvale","M","1880","0",
"Rockvale","M","1890","0",
"Rockvale","M","1900","870",
"Rockvale","M","1910","1413",
"Rockvale","M","1920","1249",
"Rockvale","M","1930","710",
"Rockvale","M","1940","575",
"Rockvale","M","1950","380",
"Rockvale","M","1960","413",
"Rockvale","M","1970","359",
"Rockvale","M","1980","338",
"Rockvale","M","1990","321",
"Rockvale","M","2000","426",
"Rockvale","M","2010","487",
"Rocky Ford","M","1870","0",
"Rocky Ford","M","1880","47",
"Rocky Ford","M","1890","468",
"Rocky Ford","M","1900","2018",
"Rocky Ford","M","1910","3230",
"Rocky Ford","M","1920","3746",
"Rocky Ford","M","1930","3426",
"Rocky Ford","M","1940","3494",
"Rocky Ford","M","1950","4087",
"Rocky Ford","M","1960","4929",
"Rocky Ford","M","1970","4859",
"Rocky Ford","M","1980","4804",
"Rocky Ford","M","1990","4162",
"Rocky Ford","M","2000","4286",
"Rocky Ford","M","2010","3957",
"Romeo","M","1870","0",
"Romeo","M","1880","0",
"Romeo","M","1890","0",
"Romeo","M","1900","0",
"Romeo","M","1910","0",
"Romeo","M","1920","0",
"Romeo","M","1930","188",
"Romeo","M","1940","392",
"Romeo","M","1950","404",
"Romeo","M","1960","339",
"Romeo","M","1970","352",
"Romeo","M","1980","308",
"Romeo","M","1990","341",
"Romeo","M","2000","375",
"Romeo","M","2010","404",
"Rosedale","M","1870","0",
"Rosedale","M","1880","0",
"Rosedale","M","1890","0",
"Rosedale","M","1900","0",
"Rosedale","M","1910","0",
"Rosedale","M","1920","0",
"Rosedale","M","1930","0",
"Rosedale","M","1940","0",
"Rosedale","M","1950","57",
"Rosedale","M","1960","70",
"Rosedale","M","1970","66",
"Rosedale","M","1980","38",
"Rosedale","M","1990","0",
"Rosedale","M","2000","0",
"Rosedale","M","2010","0",
"Rosita","M","1870","0",
"Rosita","M","1880","0",
"Rosita","M","1890","304",
"Rosita","M","1900","110",
"Rosita","M","1910","42",
"Rosita","M","1920","45",
"Rosita","M","1930","27",
"Rosita","M","1940","0",
"Rosita","M","1950","0",
"Rosita","M","1960","0",
"Rosita","M","1970","0",
"Rosita","M","1980","0",
"Rosita","M","1990","0",
"Rosita","M","2000","0",
"Rosita","M","2010","0",
"Ruby","M","1870","0",
"Ruby","M","1880","1123",
"Ruby","M","1890","0",
"Ruby","M","1900","0",
"Ruby","M","1910","0",
"Ruby","M","1920","0",
"Ruby","M","1930","0",
"Ruby","M","1940","0",
"Ruby","M","1950","0",
"Ruby","M","1960","0",
"Ruby","M","1970","0",
"Ruby","M","1980","0",
"Ruby","M","1990","0",
"Ruby","M","2000","0",
"Ruby","M","2010","0",
"Rye","M","1870","0",
"Rye","M","1880","0",
"Rye","M","1890","0",
"Rye","M","1900","0",
"Rye","M","1910","0",
"Rye","M","1920","0",
"Rye","M","1930","0",
"Rye","M","1940","163",
"Rye","M","1950","166",
"Rye","M","1960","179",
"Rye","M","1970","207",
"Rye","M","1980","232",
"Rye","M","1990","168",
"Rye","M","2000","202",
"Rye","M","2010","153",
"Saguache","M","1870","0",
"Saguache","M","1880","325",
"Saguache","M","1890","660",
"Saguache","M","1900","389",
"Saguache","M","1910","620",
"Saguache","M","1920","948",
"Saguache","M","1930","1010",
"Saguache","M","1940","1219",
"Saguache","M","1950","1024",
"Saguache","M","1960","722",
"Saguache","M","1970","642",
"Saguache","M","1980","656",
"Saguache","M","1990","584",
"Saguache","M","2000","578",
"Saguache","M","2010","485",
"Salida","M","1870","0",
"Salida","M","1880","0",
"Salida","M","1890","2586",
"Salida","M","1900","3722",
"Salida","M","1910","4425",
"Salida","M","1920","4689",
"Salida","M","1930","5065",
"Salida","M","1940","4969",
"Salida","M","1950","4553",
"Salida","M","1960","4560",
"Salida","M","1970","4355",
"Salida","M","1980","4870",
"Salida","M","1990","4737",
"Salida","M","2000","5504",
"Salida","M","2010","5236",
"San Luis","M","1870","0",
"San Luis","M","1880","0",
"San Luis","M","1890","0",
"San Luis","M","1900","0",
"San Luis","M","1910","0",
"San Luis","M","1920","0",
"San Luis","M","1930","0",
"San Luis","M","1940","0",
"San Luis","M","1950","1239",
"San Luis","M","1960","0",
"San Luis","M","1970","781",
"San Luis","M","1980","842",
"San Luis","M","1990","800",
"San Luis","M","2000","739",
"San Luis","M","2010","629",
"San Raphael","M","1870","0",
"San Raphael","M","1880","0",
"San Raphael","M","1890","0",
"San Raphael","M","1900","700",
"San Raphael","M","1910","261",
"San Raphael","M","1920","293",
"San Raphael","M","1930","0",
"San Raphael","M","1940","0",
"San Raphael","M","1950","0",
"San Raphael","M","1960","0",
"San Raphael","M","1970","0",
"San Raphael","M","1980","0",
"San Raphael","M","1990","0",
"San Raphael","M","2000","0",
"San Raphael","M","2010","0",
"Sanford","M","1870","0",
"Sanford","M","1880","0",
"Sanford","M","1890","0",
"Sanford","M","1900","0",
"Sanford","M","1910","564",
"Sanford","M","1920","555",
"Sanford","M","1930","597",
"Sanford","M","1940","736",
"Sanford","M","1950","666",
"Sanford","M","1960","679",
"Sanford","M","1970","638",
"Sanford","M","1980","687",
"Sanford","M","1990","750",
"Sanford","M","2000","817",
"Sanford","M","2010","879",
"Sawpit","M","1870","0",
"Sawpit","M","1880","0",
"Sawpit","M","1890","0",
"Sawpit","M","1900","94",
"Sawpit","M","1910","121",
"Sawpit","M","1920","121",
"Sawpit","M","1930","0",
"Sawpit","M","1940","0",
"Sawpit","M","1950","0",
"Sawpit","M","1960","30",
"Sawpit","M","1970","26",
"Sawpit","M","1980","41",
"Sawpit","M","1990","36",
"Sawpit","M","2000","25",
"Sawpit","M","2010","40",
"Sedgwick","M","1870","0",
"Sedgwick","M","1880","0",
"Sedgwick","M","1890","0",
"Sedgwick","M","1900","0",
"Sedgwick","M","1910","0",
"Sedgwick","M","1920","380",
"Sedgwick","M","1930","444",
"Sedgwick","M","1940","373",
"Sedgwick","M","1950","332",
"Sedgwick","M","1960","299",
"Sedgwick","M","1970","208",
"Sedgwick","M","1980","258",
"Sedgwick","M","1990","183",
"Sedgwick","M","2000","191",
"Sedgwick","M","2010","146",
"Seibert","M","1870","0",
"Seibert","M","1880","0",
"Seibert","M","1890","0",
"Seibert","M","1900","0",
"Seibert","M","1910","0",
"Seibert","M","1920","311",
"Seibert","M","1930","273",
"Seibert","M","1940","249",
"Seibert","M","1950","346",
"Seibert","M","1960","210",
"Seibert","M","1970","192",
"Seibert","M","1980","180",
"Seibert","M","1990","181",
"Seibert","M","2000","180",
"Seibert","M","2010","181",
"Severance","M","1870","0",
"Severance","M","1880","0",
"Severance","M","1890","0",
"Severance","M","1900","0",
"Severance","M","1910","0",
"Severance","M","1920","0",
"Severance","M","1930","0",
"Severance","M","1940","138",
"Severance","M","1950","108",
"Severance","M","1960","70",
"Severance","M","1970","59",
"Severance","M","1980","102",
"Severance","M","1990","106",
"Severance","M","2000","597",
"Severance","M","2010","3165",
"Sheridan","M","1870","0",
"Sheridan","M","1880","0",
"Sheridan","M","1890","0",
"Sheridan","M","1900","442",
"Sheridan","M","1910","498",
"Sheridan","M","1920","455",
"Sheridan","M","1930","587",
"Sheridan","M","1940","712",
"Sheridan","M","1950","1715",
"Sheridan","M","1960","3559",
"Sheridan","M","1970","4787",
"Sheridan","M","1980","5377",
"Sheridan","M","1990","4976",
"Sheridan","M","2000","5600",
"Sheridan","M","2010","5664",
"Sheridan Lake","M","1870","0",
"Sheridan Lake","M","1880","0",
"Sheridan Lake","M","1890","0",
"Sheridan Lake","M","1900","0",
"Sheridan Lake","M","1910","0",
"Sheridan Lake","M","1920","0",
"Sheridan Lake","M","1930","0",
"Sheridan Lake","M","1940","0",
"Sheridan Lake","M","1950","0",
"Sheridan Lake","M","1960","90",
"Sheridan Lake","M","1970","86",
"Sheridan Lake","M","1980","87",
"Sheridan Lake","M","1990","95",
"Sheridan Lake","M","2000","66",
"Sheridan Lake","M","2010","88",
"Silt","M","1870","0",
"Silt","M","1880","0",
"Silt","M","1890","0",
"Silt","M","1900","0",
"Silt","M","1910","0",
"Silt","M","1920","165",
"Silt","M","1930","264",
"Silt","M","1940","359",
"Silt","M","1950","361",
"Silt","M","1960","384",
"Silt","M","1970","434",
"Silt","M","1980","923",
"Silt","M","1990","1095",
"Silt","M","2000","1740",
"Silt","M","2010","2930",
"Silver Cliff","M","1870","0",
"Silver Cliff","M","1880","5040",
"Silver Cliff","M","1890","546",
"Silver Cliff","M","1900","576",
"Silver Cliff","M","1910","250",
"Silver Cliff","M","1920","241",
"Silver Cliff","M","1930","201",
"Silver Cliff","M","1940","309",
"Silver Cliff","M","1950","217",
"Silver Cliff","M","1960","153",
"Silver Cliff","M","1970","126",
"Silver Cliff","M","1980","580",
"Silver Cliff","M","1990","322",
"Silver Cliff","M","2000","512",
"Silver Cliff","M","2010","587",
"Silver Plume","M","1870","0",
"Silver Plume","M","1880","0",
"Silver Plume","M","1890","908",
"Silver Plume","M","1900","775",
"Silver Plume","M","1910","460",
"Silver Plume","M","1920","272",
"Silver Plume","M","1930","126",
"Silver Plume","M","1940","139",
"Silver Plume","M","1950","136",
"Silver Plume","M","1960","86",
"Silver Plume","M","1970","164",
"Silver Plume","M","1980","140",
"Silver Plume","M","1990","134",
"Silver Plume","M","2000","203",
"Silver Plume","M","2010","170",
"Silverthorne","M","1870","0",
"Silverthorne","M","1880","0",
"Silverthorne","M","1890","0",
"Silverthorne","M","1900","0",
"Silverthorne","M","1910","0",
"Silverthorne","M","1920","0",
"Silverthorne","M","1930","0",
"Silverthorne","M","1940","0",
"Silverthorne","M","1950","0",
"Silverthorne","M","1960","0",
"Silverthorne","M","1970","400",
"Silverthorne","M","1980","989",
"Silverthorne","M","1990","1768",
"Silverthorne","M","2000","3196",
"Silverthorne","M","2010","3887",
"Silverton","M","1870","0",
"Silverton","M","1880","264",
"Silverton","M","1890","0",
"Silverton","M","1900","1360",
"Silverton","M","1910","2153",
"Silverton","M","1920","1150",
"Silverton","M","1930","1301",
"Silverton","M","1940","1127",
"Silverton","M","1950","1375",
"Silverton","M","1960","822",
"Silverton","M","1970","797",
"Silverton","M","1980","794",
"Silverton","M","1990","716",
"Silverton","M","2000","531",
"Silverton","M","2010","637",
"Simla","M","1870","0",
"Simla","M","1880","0",
"Simla","M","1890","0",
"Simla","M","1900","0",
"Simla","M","1910","0",
"Simla","M","1920","387",
"Simla","M","1930","351",
"Simla","M","1940","421",
"Simla","M","1950","424",
"Simla","M","1960","450",
"Simla","M","1970","460",
"Simla","M","1980","494",
"Simla","M","1990","481",
"Simla","M","2000","663",
"Simla","M","2010","618",
"Snowmass Village","M","1870","0",
"Snowmass Village","M","1880","0",
"Snowmass Village","M","1890","0",
"Snowmass Village","M","1900","0",
"Snowmass Village","M","1910","0",
"Snowmass Village","M","1920","0",
"Snowmass Village","M","1930","0",
"Snowmass Village","M","1940","0",
"Snowmass Village","M","1950","0",
"Snowmass Village","M","1960","0",
"Snowmass Village","M","1970","0",
"Snowmass Village","M","1980","999",
"Snowmass Village","M","1990","1449",
"Snowmass Village","M","2000","1822",
"Snowmass Village","M","2010","2826",
"South Canon","M","1870","0",
"South Canon","M","1880","0",
"South Canon","M","1890","0",
"South Canon","M","1900","958",
"South Canon","M","1910","1321",
"South Canon","M","1920","1281",
"South Canon","M","1930","1471",
"South Canon","M","1940","1729",
