ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units
1995,2,Non-potable Raw,50,46.64,3.36,Acre-feet
1997,1,Potable Treated,6120290,5492640,627653,"Gallons, Thousands"
1997,2,Non-potable Raw,121696,121696,0.3125,"Gallons, Thousands"
1998,1,Potable Treated,4849970,3998480,851494,"Gallons, Thousands"
1998,2,Non-potable Raw,0,,0,"Gallons, Thousands"
1999,1,Potable Treated,1331,1077,254,"Gallons, Millions"
2000,1,Potable Treated,457,460.749,-3.74899,"Gallons, Millions"
2001,1,Potable Treated,921.162,696.9,224.262,"Gallons, Millions"
2002,1,Potable Treated,177563,169787,7776,Acre-feet
2002,2,Non-potable Raw,1606,1604,2,Acre-feet
2002,3,Non-potable Re-use,1898,1897,1,Acre-feet
2003,1,Potable Treated,2089,1836,253,Acre-feet
2004,1,Potable Treated,14987,14650,337,Acre-feet
2005,1,Potable Treated,752508,686472,66036.4,"Gallons, Thousands"
2006,1,Potable Treated,2743900,2586380,157525,"Gallons, Thousands"
2006,2,Non-potable Raw,4160,4160,0,"Gallons, Thousands"
2007,1,Potable Treated,1734880,1564740,170140,"Gallons, Thousands"
2007,2,Non-potable Raw,175,,175,"Gallons, Millions"
2008,1,Potable Treated,635052000,608661000,26391000,Gallons
2009,1,Potable Treated,4190000000,3484340000,705660000,Gallons
2009,2,Non-potable Raw,800,,800,Acre-feet
2010,1,Potable Treated,8612730,7235920,1376810,"Gallons, Thousands"
2010,2,Non-potable Raw,30009,11849,18160,Acre-feet
2011,1,Potable Treated,69589,63549,6040,Acre-feet
2011,2,Non-potable Raw,6517,5463,1054,Acre-feet
2011,3,Non-potable Re-use,3401,3401,0,Acre-feet
2014,1,Potable Treated,5410930,4949880,461053,"Gallons, Thousands"
2014,2,Non-potable Raw,0,,0,Unspecified
2014,3,Non-potable Re-use,490681,496523,-5842,"Gallons, Thousands"
2015,1,Potable Treated,2.26768,0,2.26768,"Gallons, Millions"
2016,1,Potable Treated,611000000,579404000,31596000,Gallons
2016,2,Non-potable Raw,34,34.2,-0.200001,Gallons
2017,1,Potable Treated,5582.69,5322,260.69,Acre-feet
2017,2,Non-potable Raw,325.27,454,-128.73,Acre-feet
2018,1,Potable Treated,727922,652303,75619,"Gallons, Thousands"
2019,1,Potable Treated,-378,247482,-247860,"Gallons, Thousands"
2020,1,Potable Treated,5607,9212,-3605,Acre-feet
2020,2,Non-potable Raw,362,297.04,64.96,Acre-feet
2020,3,Non-potable Re-use,2062,2157.65,-95.6499,Acre-feet
2021,1,Potable Treated,2844110000,2740420000,103686000,Gallons
2022,1,Potable Treated,4369280,4257320,111965,"Gallons, Thousands"
2022,2,Non-potable Raw,123844,123844,0,"Gallons, Thousands"
2022,3,Non-potable Re-use,24492,24492,0,"Gallons, Thousands"
2023,1,Potable Treated,2387,2248.7,138.3,"Gallons, Millions"
2023,2,Non-potable Raw,93,81.737,11.263,"Gallons, Millions"
2024,1,Potable Treated,1635,2472.89,-837.89,"Gallons, Millions"
2025,1,Potable Treated,17455,15528,1927,Acre-feet
2026,1,Potable Treated,940996000,1727850000,-786854000,Gallons
2028,1,Potable Treated,7433,5603,1830,"Gallons, Millions"
2029,1,Potable Treated,444.376,402.154,42.222,"Gallons, Millions"
2029,2,Non-potable Raw,42.613,,42.613,"Gallons, Millions"
2029,3,Non-potable Re-use,128.42,195.866,-67.446,"Gallons, Millions"
2030,1,Potable Treated,1421,1272190,-1270770,"Gallons, Thousands"
2030,2,Non-potable Raw,163,153.762,9.23801,Acre-feet
2031,1,Potable Treated,669318000,551498000,117820000,Gallons
2032,1,Potable Treated,1477.03,1249.7,227.325,"Gallons, Millions"
2033,1,Potable Treated,1125310000,1090510000,34800000,Gallons
2034,1,Potable Treated,3246.63,1890,1356.63,"Gallons, Millions"
2035,1,Potable Treated,2999550000,2809010000,190542000,Gallons
2037,1,Potable Treated,1177820,810598,367220,"Gallons, Thousands"
2047,1,Potable Treated,2209.3,2209.2,0.100098,"Gallons, Millions"
2047,2,Non-potable Raw,62.5,62.5,0,"Gallons, Millions"
2048,1,Potable Treated,15176900,14490200,686700,"Gallons, Thousands"
2048,2,Non-potable Raw,351068,337095,13973,"Gallons, Thousands"
2048,3,Non-potable Re-use,369424,366354,3070,"Gallons, Thousands"
2049,1,Potable Treated,2903490,2638000,265486,"Gallons, Thousands"
2049,2,Non-potable Raw,0,,0,"Gallons, Thousands"
2050,1,Potable Treated,4979.1,4546.27,432.83,Acre-feet
2050,2,Non-potable Raw,0.2,0.17,0.03,Acre-feet
2051,1,Potable Treated,689904,643082,46822,"Gallons, Thousands"
2052,1,Potable Treated,3001,1778,1223,Acre-feet
2052,2,Non-potable Raw,999,1031,-32,Acre-feet
2052,3,Non-potable Re-use,353,353.2,-0.200012,Acre-feet
2053,1,Potable Treated,8307,7852,455,"Gallons, Thousands"
2053,2,Non-potable Raw,39190,,39190,Acre-feet
2053,3,Non-potable Re-use,12149,12149,0,Acre-feet
2054,1,Potable Treated,13432,10923,2509,Acre-feet
2054,2,Non-potable Raw,800,,800,Acre-feet
2056,1,Potable Treated,1426290,959884,466406,"Gallons, Thousands"
2056,2,Non-potable Raw,1547,,1547,Acre-feet
2056,3,Non-potable Re-use,0,,0,Acre-feet
2057,1,Potable Treated,5316,5370.86,-54.8599,Acre-feet
2057,2,Non-potable Raw,274,279.55,-5.54999,Acre-feet
2058,1,Potable Treated,662000000,652532000,9468030,Gallons
2058,2,Non-potable Raw,0,0,0,Gallons
2059,1,Potable Treated,174829,167756,7073,Acre-feet
2059,2,Non-potable Raw,3408,3406,2,Acre-feet
2059,3,Non-potable Re-use,2001,2002,-1,Acre-feet
2060,1,Potable Treated,1384,1092.4,291.6,"Gallons, Millions"
2061,1,Potable Treated,5117930,4139530,978401,"Gallons, Thousands"
2061,2,Non-potable Raw,0,,0,"Gallons, Thousands"
2063,1,Potable Treated,2896,2815.65,80.3501,"Gallons, Millions"
2064,1,Potable Treated,6386250,5691930,694324,"Gallons, Thousands"
2064,2,Non-potable Raw,130850,130850,-0.1875,"Gallons, Thousands"
2065,1,Potable Treated,0,1261830,-1261830,"Gallons, Thousands"
2065,2,Non-potable Raw,0,0,0,Acre-feet
2066,1,Potable Treated,701424,660346,41078,"Gallons, Thousands"
2067,1,Potable Treated,,,,Unspecified
2068,1,Potable Treated,4787.48,,4787.48,"Gallons, Thousands"
2069,1,Potable Treated,1251370,955793,295577,"Gallons, Thousands"
2069,2,Non-potable Raw,1547,,1547,Acre-feet
2069,3,Non-potable Re-use,,,,Unspecified
2070,1,Potable Treated,17727,15904,1823,Acre-feet
2071,1,Potable Treated,14990,14677,313,Acre-feet
2072,1,Potable Treated,1614360,1800360,-185995,"Gallons, Thousands"
2073,1,Potable Treated,4288710,4020480,268227,"Gallons, Thousands"
2073,2,Non-potable Raw,190785,190785,0,"Gallons, Thousands"
2073,3,Non-potable Re-use,0,,0,Unspecified
2074,1,Potable Treated,66833,61296,5537,Acre-feet
2074,2,Non-potable Raw,5200,5200,0,Acre-feet
2074,3,Non-potable Re-use,3715,3715,0,Acre-feet
2075,1,Potable Treated,971.98,685.2,286.78,"Gallons, Millions"
2076,1,Potable Treated,5782,9130.59,-3348.59,Acre-feet
2076,2,Non-potable Raw,380,295.15,84.85,Acre-feet
2076,3,Non-potable Re-use,2081,2126.94,-45.9399,Acre-feet
2077,1,Potable Treated,7369,7004,365,"Gallons, Millions"
2078,1,Potable Treated,1679430,1535040,144390,"Gallons, Thousands"
2079,1,Potable Treated,451,396.37,54.63,"Gallons, Millions"
2079,2,Non-potable Raw,151,,151,"Gallons, Millions"
2079,3,Non-potable Re-use,30,167.436,-137.436,"Gallons, Millions"
2080,1,Potable Treated,1477.03,1249.7,227.325,"Gallons, Millions"
2081,1,Potable Treated,880120000,785122000,94998000,Gallons
2082,1,Potable Treated,664709000,660979000,3729980,Gallons
2085,1,Potable Treated,2425,2754.1,-329.1,Acre-feet
2085,2,Non-potable Raw,334,99.02,234.98,Acre-feet
2086,1,Potable Treated,3071,2810.98,260.02,Acre-feet
2086,2,Non-potable Raw,293,132.59,160.41,Acre-feet
2087,1,Potable Treated,5295050,4902140,392914,"Gallons, Thousands"
2087,3,Non-potable Re-use,571902,501350,70552,"Gallons, Thousands"
2088,1,Potable Treated,2435,2435.1,-0.100098,"Gallons, Millions"
2088,2,Non-potable Raw,67,76.32,-9.32,"Gallons, Millions"
2089,1,Potable Treated,526240000,489547000,36693000,Gallons
2091,1,Potable Treated,2816560000,2832110000,-15550200,Gallons
2092,1,Potable Treated,3330.83,3307.61,23.2219,"Gallons, Millions"
2093,1,Potable Treated,653.792,535.317,118.475,"Gallons, Millions"
2093,2,Non-potable Raw,519.8,402.26,117.54,Acre-feet
2095,1,Potable Treated,1104110,1737490,-633380,CCF (100 cubic feet)
2095,2,Non-potable Raw,61589,61589,0,"Gallons, Thousands"
2100,1,Potable Treated,,,,"Gallons, Millions"
2100,2,Non-potable Raw,,,,"Gallons, Millions"
2110,1,Potable Treated,4587,3865.96,721.04,"Gallons, Millions"
2110,2,Non-potable Raw,,,,"Gallons, Millions"
2111,1,Potable Treated,19103,16835,2268,Acre-feet
2117,1,Potable Treated,1912,,1912,Acre-feet
2118,1,Potable Treated,6895730,6149110,746624,"Gallons, Thousands"
2118,2,Non-potable Raw,133716,133717,-1,"Gallons, Thousands"
2119,1,Potable Treated,3384000,2901950,482050,"Gallons, Thousands"
2120,1,Potable Treated,189259,180587,8672,Acre-feet
2120,2,Non-potable Raw,19090,19090,0,Acre-feet
2120,3,Non-potable Re-use,2816,2818,-2,Acre-feet
2121,1,Potable Treated,1353,1219,134,"Gallons, Millions"
2122,1,Potable Treated,3802840,3179150,623687,"Gallons, Thousands"
2123,1,Potable Treated,0,983877,-983877,"Gallons, Thousands"
2123,2,Non-potable Raw,1302,,1302,Acre-feet
2124,1,Potable Treated,5443770,4565090,878679,"Gallons, Thousands"
2124,2,Non-potable Raw,0,,0,"Gallons, Thousands"
2125,1,Potable Treated,15790800,15641800,149035,"Gallons, Thousands"
2125,2,Non-potable Raw,487445,487445,0,"Gallons, Thousands"
2125,3,Non-potable Re-use,429098,429098,0,"Gallons, Thousands"
2126,1,Potable Treated,722530,666847,55683,"Gallons, Thousands"
2127,1,Potable Treated,72082,64054,8028,Acre-feet
2127,2,Non-potable Raw,5082,4188,894,Acre-feet
2127,3,Non-potable Re-use,2910,2911,-1,Acre-feet
2128,1,Potable Treated,1737330,1991890,-254563,"Gallons, Thousands"
2129,1,Potable Treated,0,1410980,-1410980,"Gallons, Thousands"
2129,2,Non-potable Raw,0,0,0,Acre-feet
2130,1,Potable Treated,2800080,2575710,224371,"Gallons, Thousands"
2130,2,Non-potable Raw,113150,105501,7649,"Gallons, Thousands"
2131,1,Potable Treated,16625,16221,404,Acre-feet
2132,1,Potable Treated,799895,751215,48680,"Gallons, Thousands"
2133,1,Potable Treated,1870710000,1730950000,139760000,Acre-feet
2133,2,Non-potable Raw,96614800,96630100,-15296,Acre-feet
2134,1,Potable Treated,5673010,5196810,476196,"Gallons, Thousands"
2134,3,Non-potable Re-use,621200,593172,28028,"Gallons, Thousands"
2135,1,Potable Treated,1156600000,1148260000,8340100,Gallons
2136,1,Potable Treated,1130850000,1111090000,19760000,Gallons
2139,1,Potable Treated,1733580,1554080,179500,"Gallons, Thousands"
2152,1,Potable Treated,3842,3030.3,811.7,Acre-feet
2152,2,Non-potable Raw,0,0,0,Acre-feet
2152,3,Non-potable Re-use,1351,989,362,Acre-feet
2153,1,Potable Treated,,,,"Gallons, Thousands"
2154,1,Potable Treated,430,450.801,-20.801,"Gallons, Millions"
2155,1,Potable Treated,495,508.02,-13.02,"Gallons, Millions"
2156,1,Potable Treated,614238,526596,87642,"Gallons, Thousands"
2157,1,Potable Treated,8758,7334,1424,"Gallons, Millions"
