ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units,,,dwater,mwater,lwater,,325850.943,1
1990,1,Potable Treated,1385220,,1385220,"Gallons, Thousands",,,1385220,0,1385220,,,
1997,1,Potable Treated,6120290,5492640,627653,"Gallons, Thousands",,,6120290,5492640,627653,,,
1997,2,Non-potable Raw,121696,121696,0.3125,"Gallons, Thousands",,,121696,121696,0.3125,,,
1998,1,Potable Treated,4849970,3998480,851494,"Gallons, Thousands",,,4849970,3998480,851494,,,
1998,2,Non-potable Raw,0,,0,"Gallons, Thousands",,,0,0,0,,,
2005,1,Potable Treated,752508,686472,66036.4,"Gallons, Thousands",,,752508,686472,66036.4,,,
2006,1,Potable Treated,2743900,2586380,157525,"Gallons, Thousands",,,2743900,2586380,157525,,,
2006,2,Non-potable Raw,4160,4160,0,"Gallons, Thousands",,,4160,4160,0,,,
2007,1,Potable Treated,1734880,1564740,170140,"Gallons, Thousands",,,1734880,1564740,170140,,,
2010,1,Potable Treated,8612730,7235920,1376810,"Gallons, Thousands",,,8612730,7235920,1376810,,,
2014,1,Potable Treated,5410930,4949880,461053,"Gallons, Thousands",,,5410930,4949880,461053,,,
2014,3,Non-potable Re-use,490681,496523,-5842,"Gallons, Thousands",,,490681,496523,-5842,,,
2018,1,Potable Treated,727922,652303,75619,"Gallons, Thousands",,,727922,652303,75619,,,
2019,1,Potable Treated,-378,247482,-247860,"Gallons, Thousands",,,-378,247482,-247860,,,
2022,1,Potable Treated,4369280,4257320,111965,"Gallons, Thousands",,,4369280,4257320,111965,,,
2022,2,Non-potable Raw,123844,123844,0,"Gallons, Thousands",,,123844,123844,0,,,
2022,3,Non-potable Re-use,24492,24492,0,"Gallons, Thousands",,,24492,24492,0,,,
2030,1,Potable Treated,1421,1272190,-1270770,"Gallons, Thousands",,,1421,1272190,-1270770,,,
2037,1,Potable Treated,1177820,810598,367220,"Gallons, Thousands",,,1177820,810598,367220,,,
2048,1,Potable Treated,15176900,14490200,686700,"Gallons, Thousands",,,15176900,14490200,686700,,,
2048,2,Non-potable Raw,351068,337095,13973,"Gallons, Thousands",,,351068,337095,13973,,,
2048,3,Non-potable Re-use,369424,366354,3070,"Gallons, Thousands",,,369424,366354,3070,,,
2049,1,Potable Treated,2903490,2638000,265486,"Gallons, Thousands",,,2903490,2638000,265486,,,
2049,2,Non-potable Raw,0,,0,"Gallons, Thousands",,,0,0,0,,,
2051,1,Potable Treated,689904,643082,46822,"Gallons, Thousands",,,689904,643082,46822,,,
2053,1,Potable Treated,8307,7852,455,"Gallons, Thousands",,,8307,7852,455,,,
2056,1,Potable Treated,1426290,959884,466406,"Gallons, Thousands",,,1426290,959884,466406,,,
2061,1,Potable Treated,5117930,4139530,978401,"Gallons, Thousands",,,5117930,4139530,978401,,,
2061,2,Non-potable Raw,0,,0,"Gallons, Thousands",,,0,0,0,,,
2064,1,Potable Treated,6386250,5691930,694324,"Gallons, Thousands",,,6386250,5691930,694324,,,
2064,2,Non-potable Raw,130850,130850,-0.1875,"Gallons, Thousands",,,130850,130850,-0.1875,,,
2065,1,Potable Treated,0,1261830,-1261830,"Gallons, Thousands",,,0,1261830,-1261830,,,
2066,1,Potable Treated,701424,660346,41078,"Gallons, Thousands",,,701424,660346,41078,,,
2068,1,Potable Treated,4787.48,,4787.48,"Gallons, Thousands",,,4787.48,0,4787.48,,,
2069,1,Potable Treated,1251370,955793,295577,"Gallons, Thousands",,,1251370,955793,295577,,,
2072,1,Potable Treated,1614360,1800360,-185995,"Gallons, Thousands",,,1614360,1800360,-185995,,,
2073,1,Potable Treated,4288710,4020480,268227,"Gallons, Thousands",,,4288710,4020480,268227,,,
2073,2,Non-potable Raw,190785,190785,0,"Gallons, Thousands",,,190785,190785,0,,,
2078,1,Potable Treated,1679430,1535040,144390,"Gallons, Thousands",,,1679430,1535040,144390,,,
2087,1,Potable Treated,5295050,4902140,392914,"Gallons, Thousands",,,5295050,4902140,392914,,,
2087,3,Non-potable Re-use,571902,501350,70552,"Gallons, Thousands",,,571902,501350,70552,,,
2095,2,Non-potable Raw,61589,61589,0,"Gallons, Thousands",,,61589,61589,0,,,
2118,1,Potable Treated,6895730,6149110,746624,"Gallons, Thousands",,,6895730,6149110,746624,,,
2118,2,Non-potable Raw,133716,133717,-1,"Gallons, Thousands",,,133716,133717,-1,,,
2119,1,Potable Treated,3384000,2901950,482050,"Gallons, Thousands",,,3384000,2901950,482050,,,
2122,1,Potable Treated,3802840,3179150,623687,"Gallons, Thousands",,,3802840,3179150,623687,,,
2123,1,Potable Treated,0,983877,-983877,"Gallons, Thousands",,,0,983877,-983877,,,
2124,1,Potable Treated,5443770,4565090,878679,"Gallons, Thousands",,,5443770,4565090,878679,,,
2124,2,Non-potable Raw,0,,0,"Gallons, Thousands",,,0,0,0,,,
2125,1,Potable Treated,15790800,15641800,149035,"Gallons, Thousands",,,15790800,15641800,149035,,,
2125,2,Non-potable Raw,487445,487445,0,"Gallons, Thousands",,,487445,487445,0,,,
2125,3,Non-potable Re-use,429098,429098,0,"Gallons, Thousands",,,429098,429098,0,,,
2126,1,Potable Treated,722530,666847,55683,"Gallons, Thousands",,,722530,666847,55683,,,
2128,1,Potable Treated,1737330,1991890,-254563,"Gallons, Thousands",,,1737330,1991890,-254563,,,
2129,1,Potable Treated,0,1410980,-1410980,"Gallons, Thousands",,,0,1410980,-1410980,,,
2130,1,Potable Treated,2800080,2575710,224371,"Gallons, Thousands",,,2800080,2575710,224371,,,
2130,2,Non-potable Raw,113150,105501,7649,"Gallons, Thousands",,,113150,105501,7649,,,
2132,1,Potable Treated,799895,751215,48680,"Gallons, Thousands",,,799895,751215,48680,,,
2134,1,Potable Treated,5673010,5196810,476196,"Gallons, Thousands",,,5673010,5196810,476196,,,
2134,3,Non-potable Re-use,621200,593172,28028,"Gallons, Thousands",,,621200,593172,28028,,,
2139,1,Potable Treated,1733580,1554080,179500,"Gallons, Thousands",,,1733580,1554080,179500,,,
2153,1,Potable Treated,,,,"Gallons, Thousands",,,0,0,0,,,
2156,1,Potable Treated,614238,526596,87642,"Gallons, Thousands",,,614238,526596,87642,,,
2161,1,Potable Treated,1732410,1613770,118644,"Gallons, Thousands",,,1732410,1613770,118644,,,
2164,1,Potable Treated,,,,"Gallons, Thousands",,,0,0,0,,,
2165,2,Non-potable Raw,59505,59505,0,"Gallons, Thousands",,,59505,59505,0,,,
2166,2,Non-potable Raw,53578,53578,0,"Gallons, Thousands",,,53578,53578,0,,,
2176,1,Potable Treated,2656190,2479720,176470,"Gallons, Thousands",,,2656190,2479720,176470,,,
2176,2,Non-potable Raw,119204,103143,16061,"Gallons, Thousands",,,119204,103143,16061,,,
2177,1,Potable Treated,2442270,2314850,127421,"Gallons, Thousands",,,2442270,2314850,127421,,,
2177,2,Non-potable Raw,88925,82460,6465,"Gallons, Thousands",,,88925,82460,6465,,,
2178,1,Potable Treated,3391730,2869590,522140,"Gallons, Thousands",,,3391730,2869590,522140,,,
2179,1,Potable Treated,0,885537,-885537,"Gallons, Thousands",,,0,885537,-885537,,,
2184,1,Potable Treated,889259,807231,82028,"Gallons, Thousands",,,889259,807231,82028,,,
2184,2,Non-potable Raw,109173,109173,0,"Gallons, Thousands",,,109173,109173,0,,,
2188,1,Potable Treated,4663560,4282170,381386,"Gallons, Thousands",,,4663560,4282170,381386,,,
2188,2,Non-potable Raw,154186,154186,0,"Gallons, Thousands",,,154186,154186,0,,,
2190,1,Potable Treated,6710200,5936660,773545,"Gallons, Thousands",,,6710200,5936660,773545,,,
2190,2,Non-potable Raw,95486,95486.3,-0.296875,"Gallons, Thousands",,,95486,95486.3,-0.296875,,,
2193,2,Non-potable Raw,60658,60713,-55,"Gallons, Thousands",,,60658,60713,-55,,,
2194,1,Potable Treated,4963030,4228810,734216,"Gallons, Thousands",,,4963030,4228810,734216,,,
2194,2,Non-potable Raw,0,,0,"Gallons, Thousands",,,0,0,0,,,
2195,1,Potable Treated,3443210,3253770,189436,"Gallons, Thousands",,,3443210,3253770,189436,,,
2196,1,Potable Treated,779779,747207,32572,"Gallons, Thousands",,,779779,747207,32572,,,
2201,1,Potable Treated,15957200,15600700,356460,"Gallons, Thousands",,,15957200,15600700,356460,,,
2201,2,Non-potable Raw,435542,440801,-5259,"Gallons, Thousands",,,435542,440801,-5259,,,
2201,3,Non-potable Re-use,396417,400025,-3608,"Gallons, Thousands",,,396417,400025,-3608,,,
2204,1,Potable Treated,811869,705773,106096,"Gallons, Thousands",,,811869,705773,106096,,,
2213,1,Potable Treated,1721240,2291760,-570523,"Gallons, Thousands",,,1721240,2291760,-570523,,,
2214,1,Potable Treated,637446,517746,119700,"Gallons, Thousands",,,637446,517746,119700,,,
2216,1,Potable Treated,1674680,1544410,130267,"Gallons, Thousands",,,1674680,1544410,130267,,,
2217,1,Potable Treated,1644130,1523000,121134,"Gallons, Thousands",,,1644130,1523000,121134,,,
2218,1,Potable Treated,1717130,1630990,86136,"Gallons, Thousands",,,1717130,1630990,86136,,,
2219,1,Potable Treated,1687540,1606060,81480,"Gallons, Thousands",,,1687540,1606060,81480,,,
2220,1,Potable Treated,,,,"Gallons, Thousands",,,0,0,0,,,
2226,1,Potable Treated,1359980,1350430,9549,"Gallons, Thousands",,,1359980,1350430,9549,,,
2228,1,Potable Treated,,,,"Gallons, Thousands",,,0,0,0,,,
2228,3,Non-potable Re-use,,,,"Gallons, Thousands",,,0,0,0,,,
2014,2,Non-potable Raw,0,,0,Unspecified,,,0,0,0,,,
2067,1,Potable Treated,,,,Unspecified,,,0,0,0,,,
2069,3,Non-potable Re-use,,,,Unspecified,,,0,0,0,,,
2073,3,Non-potable Re-use,0,,0,Unspecified,,,0,0,0,,,
2188,3,Non-potable Re-use,,,,Unspecified,,,0,0,0,,,
1931,,**SERVICE CONNECTIONS NOT SET UP**,,,,,,,0,0,0,,,
2198,,**SERVICE CONNECTIONS NOT SET UP**,,,,,,,0,0,0,,,
