ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units,,,dwater,mwater,lwater,,325850.943,1
2057,1,Potable Treated,5316,5370.86,-54.8599,Acre-feet,,,1732223.613,1750099.796,-17876.15015,,,
2057,2,Non-potable Raw,274,279.55,-5.54999,Acre-feet,,,89283.15838,91091.63112,-1808.469475,,,
2059,1,Potable Treated,174829,167756,7073,Acre-feet,,,56968194.51,54663450.79,2304743.72,,,
2059,2,Non-potable Raw,3408,3406,2,Acre-feet,,,1110500.014,1109848.312,651.701886,,,
2059,3,Non-potable Re-use,2001,2002,-1,Acre-feet,,,652027.7369,652353.5879,-325.850943,,,
2065,2,Non-potable Raw,0,0,0,Acre-feet,,,0,0,0,,,
2069,2,Non-potable Raw,1547,,1547,Acre-feet,,,504091.4088,0,504091.4088,,,
2070,1,Potable Treated,17727,15904,1823,Acre-feet,,,5776359.667,5182333.397,594026.2691,,,
2071,1,Potable Treated,14990,14677,313,Acre-feet,,,4884505.636,4782514.29,101991.3452,,,
2074,1,Potable Treated,66833,61296,5537,Acre-feet,,,21777596.07,19973359.4,1804236.671,,,
2074,2,Non-potable Raw,5200,5200,0,Acre-feet,,,1694424.904,1694424.904,0,,,
2074,3,Non-potable Re-use,3715,3715,0,Acre-feet,,,1210536.253,1210536.253,0,,,
2076,1,Potable Treated,5782,9130.59,-3348.59,Acre-feet,,,1884070.152,2975211.362,-1091141.209,,,
2076,2,Non-potable Raw,380,295.15,84.85,Acre-feet,,,123823.3583,96174.90583,27648.45251,,,
2076,3,Non-potable Re-use,2081,2126.94,-45.9399,Acre-feet,,,678095.8124,693065.4047,-14969.55974,,,
2085,1,Potable Treated,2425,2754.1,-329.1,Acre-feet,,,790188.5368,897426.0821,-107237.5453,,,
2085,2,Non-potable Raw,334,99.02,234.98,Acre-feet,,,108834.215,32265.76038,76568.45459,,,
2086,1,Potable Treated,3071,2810.98,260.02,Acre-feet,,,1000688.246,915960.4838,84727.7622,,,
2086,2,Non-potable Raw,293,132.59,160.41,Acre-feet,,,95474.3263,43204.57653,52269.74977,,,
2093,2,Non-potable Raw,519.8,402.26,117.54,Acre-feet,,,169377.3202,131076.8003,38300.51984,,,
2111,1,Potable Treated,19103,16835,2268,Acre-feet,,,6224730.564,5485700.625,739029.9387,,,
2117,1,Potable Treated,1912,,1912,Acre-feet,,,623027.003,0,623027.003,,,
2120,1,Potable Treated,189259,180587,8672,Acre-feet,,,61670223.62,58844444.24,2825779.378,,,
2120,2,Non-potable Raw,19090,19090,0,Acre-feet,,,6220494.502,6220494.502,0,,,
2120,3,Non-potable Re-use,2816,2818,-2,Acre-feet,,,917596.2555,918247.9574,-651.701886,,,
2123,2,Non-potable Raw,1302,,1302,Acre-feet,,,424257.9278,0,424257.9278,,,
2127,1,Potable Treated,72082,64054,8028,Acre-feet,,,23487987.67,20872056.3,2615931.37,,,
2127,2,Non-potable Raw,5082,4188,894,Acre-feet,,,1655974.492,1364663.749,291310.743,,,
2127,3,Non-potable Re-use,2910,2911,-1,Acre-feet,,,948226.2441,948552.0951,-325.850943,,,
2129,2,Non-potable Raw,0,0,0,Acre-feet,,,0,0,0,,,
2131,1,Potable Treated,16625,16221,404,Acre-feet,,,5417271.927,5285628.146,131643.781,,,
2133,1,Potable Treated,1870710000,1730950000,139760000,Acre-feet,,,6.09573E+11,5.64032E+11,45540927794,,,
2133,2,Non-potable Raw,96614800,96630100,-15296,Acre-feet,,,31482023688,31487009207,-4984216.024,,,
2152,1,Potable Treated,3842,3030.3,811.7,Acre-feet,,,1251919.323,987426.1126,264493.2104,,,
2152,2,Non-potable Raw,0,0,0,Acre-feet,,,0,0,0,,,
2152,3,Non-potable Re-use,1351,989,362,Acre-feet,,,440224.624,322266.5826,117958.0414,,,
2163,1,Potable Treated,6744,9999.3,-3255.3,Acre-feet,,,2197538.76,3258281.334,-1060742.575,,,
2163,2,Non-potable Raw,559,500.78,58.22,Acre-feet,,,182150.6771,163179.6352,18971.0419,,,
2163,3,Non-potable Re-use,2595,2709.07,-114.07,Acre-feet,,,845583.1971,882753.0142,-37169.81707,,,
2172,1,Potable Treated,3246,2933,313,Acre-feet,,,1057712.161,955720.8158,101991.3452,,,
2172,2,Non-potable Raw,366,88.79,277.21,Acre-feet,,,119261.4451,28932.30523,90329.13991,,,
2173,1,Potable Treated,3268880,3116220,152664,Acre-feet,,,1065167631,1015423226,49745708.36,,,
2174,2,Non-potable Raw,525,525.05,-0.0499878,Acre-feet,,,171071.7451,171088.0376,-16.28857177,,,
2179,2,Non-potable Raw,1442,,1442,Acre-feet,,,469877.0598,0,469877.0598,,,
2186,1,Potable Treated,3551,3259.4,291.6,Acre-feet,,,1157096.699,1062078.564,95018.13498,,,
2186,2,Non-potable Raw,,,,Acre-feet,,,0,0,0,,,
2186,3,Non-potable Re-use,415,415,0,Acre-feet,,,135228.1413,135228.1413,0,,,
2197,1,Potable Treated,186753,176108,10645,Acre-feet,,,60853641.16,57384957.87,3468683.288,,,
2197,2,Non-potable Raw,21513,21512,1,Acre-feet,,,7010031.337,7009705.486,325.850943,,,
2197,3,Non-potable Re-use,2723,2724,-1,Acre-feet,,,887292.1178,887617.9687,-325.850943,,,
2199,1,Potable Treated,16612,16248,364,Acre-feet,,,5413035.865,5294426.122,118609.7433,,,
2200,2,Non-potable Raw,30188,,30188,Acre-feet,,,9836788.267,0,9836788.267,,,
2200,3,Non-potable Re-use,12783,,12783,Acre-feet,,,4165352.604,0,4165352.604,,,
2205,1,Potable Treated,6446,10049.4,-3603.4,Acre-feet,,,2100435.179,3274606.467,-1174171.288,,,
2205,2,Non-potable Raw,548,453.65,94.35,Acre-feet,,,178566.3168,147822.2803,30744.03647,,,
2205,3,Non-potable Re-use,2277,1258.44,1018.56,Acre-feet,,,741962.5972,410063.8607,331898.7365,,,
2206,1,Potable Treated,18126,16145,1981,Acre-feet,,,5906374.193,5260863.475,645510.7181,,,
2209,2,Non-potable Raw,461,461.04,-0.0400085,Acre-feet,,,150217.2847,150230.3188,-13.03680745,,,
2220,2,Non-potable Raw,,,,Acre-feet,,,0,0,0,,,
1930,1,Potable Treated,758099,1376080,-617981,CCF (100 cubic feet),,,567097.4731,1029379.396,-462281.923,,,
2095,1,Potable Treated,1104110,1737490,-633380,CCF (100 cubic feet),,,825931.6937,1299732.869,-473801.1758,,,
2165,1,Potable Treated,1615220,1615220,0,CCF (100 cubic feet),,,1208268.551,1208268.551,0,,,
2166,1,Potable Treated,1546660,1546660,0,CCF (100 cubic feet),,,1156982.106,1156982.106,0,,,
2193,1,Potable Treated,982478,1565760,-583282,CCF (100 cubic feet),,,734944.6329,1171269.9,-436325.2667,,,
1913,1,Potable Treated,645870000,600114000,45756000,Gallons,,,645870,600114,45756,,,
1922,1,Potable Treated,4237200000,3451360000,785840000,Gallons,,,4237200,3451360,785840,,,
1940,1,Potable Treated,625281000,586044000,39237000,Gallons,,,625281,586044,39237,,,
1952,1,Potable Treated,632600000,578688000,53912000,Gallons,,,632600,578688,53912,,,
1952,2,Non-potable Raw,0,,0,Gallons,,,0,0,0,,,
1966,1,Potable Treated,954806000,1782420000,-827614000,Gallons,,,954806,1782420,-827614,,,
1975,1,Potable Treated,1085460000,1088540000,-3080060,Gallons,,,1085460,1088540,-3080.06,,,
1984,1,Potable Treated,680046000,550577000,129469000,Gallons,,,680046,550577,129469,,,
1991,1,Potable Treated,545380000,542160000,3219580,Gallons,,,545380,542160,3219.58,,,
2008,1,Potable Treated,635052000,608661000,26391000,Gallons,,,635052,608661,26391,,,
2009,1,Potable Treated,4190000000,3484340000,705660000,Gallons,,,4190000,3484340,705660,,,
2016,1,Potable Treated,611000000,579404000,31596000,Gallons,,,611000,579404,31596,,,
2016,2,Non-potable Raw,34,34.2,-0.200001,Gallons,,,0.034,0.0342,-0.000200001,,,
2021,1,Potable Treated,2844110000,2740420000,103686000,Gallons,,,2844110,2740420,103686,,,
2026,1,Potable Treated,940996000,1727850000,-786854000,Gallons,,,940996,1727850,-786854,,,
2031,1,Potable Treated,669318000,551498000,117820000,Gallons,,,669318,551498,117820,,,
2033,1,Potable Treated,1125310000,1090510000,34800000,Gallons,,,1125310,1090510,34800,,,
2035,1,Potable Treated,2999550000,2809010000,190542000,Gallons,,,2999550,2809010,190542,,,
2058,1,Potable Treated,662000000,652532000,9468030,Gallons,,,662000,652532,9468.03,,,
2058,2,Non-potable Raw,0,0,0,Gallons,,,0,0,0,,,
