ce_annual_ndx,water_type_index,water_type,billed_unmetered_use,unbilled_authorized_use,apparent_losses,real_losses,calculated_total,units,billumu,ubillau,apploss,realloss,calctotal,,325850.943,1
2074,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
1939,3,Non-potable Re-use,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2056,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2002,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2197,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2127,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2163,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2059,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2011,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2076,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2020,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2186,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
1951,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2052,3,Non-potable Re-use,0,282,0,0,282,Acre-feet,0,91889.96593,0,0,91889.96593,,,
2152,3,Non-potable Re-use,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
1981,3,Non-potable Re-use,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
1930,1,Potable Treated,,,,,0,CCF (100 cubic feet),0,0,0,0,0,,,
2095,1,Potable Treated,,,,,0,CCF (100 cubic feet),0,0,0,0,0,,,
2165,1,Potable Treated,,,,,0,CCF (100 cubic feet),0,0,0,0,0,,,
2166,1,Potable Treated,,,,,0,CCF (100 cubic feet),0,0,0,0,0,,,
2193,1,Potable Treated,,,,,0,CCF (100 cubic feet),0,0,0,0,0,,,
2232,1,Potable Treated,0,7.57475,0,0,7.57475,Gallons,0,0.00757475,0,0,0.00757475,,,
2215,1,Potable Treated,0,9190380,0,93799100,102989000,Gallons,0,9190.38,0,93799.1,102989,,,
1913,1,Potable Treated,0,28,42,0,70,Gallons,0,0.028,0.042,0,0.07,,,
1922,1,Potable Treated,0,160000000,138055000,499435000,797490000,Gallons,0,160000,138055,499435,797490,,,
1940,1,Potable Treated,0,5000000,5000000,18758400,28758400,Gallons,0,5000,5000,18758.4,28758.4,,,
1952,1,Potable Treated,0,0,0,0,0,Gallons,0,0,0,0,0,,,
1966,1,Potable Treated,0,10092600,109143000,2400000,121636000,Gallons,0,10092.6,109143,2400,121636,,,
1975,1,Potable Treated,,,,,0,Gallons,0,0,0,0,0,,,
1984,1,Potable Treated,0,509000,19882000,117786000,138177000,Gallons,0,509,19882,117786,138177,,,
1991,1,Potable Treated,0,0,64870000,64870000,129740000,Gallons,0,0,64870,64870,129740,,,
2008,1,Potable Treated,0,13195600,6597800,6597800,26391200,Gallons,0,13195.6,6597.8,6597.8,26391.2,,,
2009,1,Potable Treated,0,50937300,139589000,13575700,204102000,Gallons,0,50937.3,139589,13575.7,204102,,,
2016,1,Potable Treated,,,,,0,Gallons,0,0,0,0,0,,,
2021,1,Potable Treated,0,0,104723000,104723000,209445000,Gallons,0,0,104723,104723,209445,,,
2026,1,Potable Treated,0,10522000,0,109143000,119665000,Gallons,0,10522,0,109143,119665,,,
2031,1,Potable Treated,0,26598000,77090000,0,103688000,Gallons,0,26598,77090,0,103688,,,
2033,1,Potable Treated,0,0,0,34315500,34315500,Gallons,0,0,0,34315.5,34315.5,,,
2035,1,Potable Treated,0,0,104723000,104723000,209446000,Gallons,0,0,104723,104723,209446,,,
2058,1,Potable Treated,,,,,0,Gallons,0,0,0,0,0,,,
2081,1,Potable Treated,0,6130880,104466000,0,110597000,Gallons,0,6130.88,104466,0,110597,,,
2082,1,Potable Treated,0,58213000,7825380,0,66038400,Gallons,0,58213,7825.38,0,66038.4,,,
2089,1,Potable Treated,0,26732300,89996000,0,116728000,Gallons,0,26732.3,89996,0,116728,,,
2091,1,Potable Treated,0,0,95254000,0,95254000,Gallons,0,0,95254,0,95254,,,
2135,1,Potable Treated,0,0,0,0,0,Gallons,0,0,0,0,0,,,
